series_num,lags,series_type,test_MSE,time_delta
102,17,multiplicative,0.014186511847071526,1 days 00:00:00
103,24,additive,0.06477269358729995,0 days 06:00:00
105,13,multiplicative,0.03854330236260592,1 days 00:00:00
110,28,multiplicative,0.0666820185389084,0 days 06:00:00
115,21,multiplicative,0.06418625094689796,0 days 08:00:00
118,6,additive,0.41195592711757345,0 days 00:10:00
119,15,additive,0.048700085549657726,1 days 00:00:00
12,7,additive,0.5062947300242832,0 days 00:10:00
131,8,multiplicative,0.24584093196062357,0 days 00:30:00
141,5,additive,0.09917284166104694,0 days 08:00:00
151,17,multiplicative,0.04773908184849193,0 days 08:00:00
153,6,multiplicative,0.18881366284001178,0 days 08:00:00
155,10,multiplicative,0.033304549282681846,0 days 00:10:00
161,9,multiplicative,0.20902215245157127,0 days 01:00:00
165,12,multiplicative,0.20423358779538867,0 days 06:00:00
176,6,multiplicative,0.4440757020617419,0 days 08:00:00
177,10,multiplicative,0.2665972757971498,0 days 00:10:00
185,20,multiplicative,0.09589288053791771,0 days 06:00:00
188,13,multiplicative,0.05558997586475115,1 days 00:00:00
198,8,multiplicative,0.48322161117614504,0 days 00:10:00
200,3,additive,0.1127994492195212,0 days 00:10:00
204,4,multiplicative,1.3057260100993786,0 days 06:00:00
205,10,multiplicative,0.024889772457548965,0 days 00:30:00
209,9,multiplicative,1.2134074843609493,0 days 00:10:00
21,13,multiplicative,0.09048439965561826,1 days 00:00:00
211,9,multiplicative,0.08416762789554438,0 days 00:10:00
212,3,additive,0.659453171239272,0 days 00:30:00
217,17,multiplicative,2.256907617421309,1 days 00:00:00
218,8,multiplicative,1.0489890034810845,0 days 00:10:00
227,9,multiplicative,0.029767561976289443,0 days 00:10:00
23,24,multiplicative,0.15371060858686272,0 days 06:00:00
242,3,additive,0.08608110069317634,0 days 00:10:00
246,20,additive,0.17010646926378395,0 days 06:00:00
251,15,additive,0.014064666690265263,0 days 08:00:00
256,10,multiplicative,0.0850661047266589,0 days 00:10:00
272,4,additive,0.11576678617330004,0 days 00:30:00
287,6,multiplicative,0.053692826016860117,0 days 00:30:00
29,8,additive,0.049149608453974425,0 days 00:10:00
290,4,additive,0.09016733715154548,0 days 00:30:00
294,19,multiplicative,0.14039861219610938,0 days 01:00:00
297,19,multiplicative,0.21563378298042335,1 days 00:00:00
300,32,additive,0.09274977653885359,0 days 00:30:00
301,13,multiplicative,0.06779692664529638,1 days 00:00:00
306,5,additive,0.04430518491623793,0 days 00:30:00
310,28,multiplicative,0.03181810007411268,0 days 06:00:00
314,20,additive,0.06382452295782456,0 days 06:00:00
321,4,additive,0.15066109951679088,0 days 00:30:00
325,21,additive,0.08459192921659911,0 days 01:00:00
335,3,additive,0.33585406292471104,0 days 00:30:00
338,18,additive,0.1532713852790291,0 days 01:00:00
348,24,additive,0.039725397011933214,0 days 06:00:00
352,4,additive,0.02596126506063633,0 days 00:30:00
354,21,multiplicative,0.08165681566570698,0 days 08:00:00
361,21,additive,0.07273397592962778,0 days 01:00:00
367,4,additive,0.15408176584457628,0 days 00:30:00
370,24,multiplicative,0.22548453531195906,0 days 06:00:00
383,29,additive,0.05993973223913301,0 days 00:30:00
386,6,additive,0.09143328660144286,0 days 00:10:00
39,7,additive,0.11492905167268755,0 days 00:10:00
391,6,additive,0.12924242144636056,0 days 00:10:00
397,16,multiplicative,0.045263277226186574,1 days 00:00:00
401,7,multiplicative,0.05826190967523803,0 days 00:30:00
42,21,multiplicative,0.09736919910347822,0 days 08:00:00
421,8,multiplicative,0.17788622030589563,1 days 00:00:00
428,22,multiplicative,0.5360146426162917,0 days 01:00:00
429,11,multiplicative,0.14229834024419005,1 days 00:00:00
43,24,multiplicative,0.08389773982031654,0 days 06:00:00
430,17,multiplicative,0.4810684102793996,1 days 00:00:00
435,7,additive,0.029216382532537652,0 days 00:10:00
437,5,multiplicative,0.2180458566615254,0 days 00:30:00
439,13,multiplicative,0.0595737011860268,1 days 00:00:00
440,37,additive,0.02760716682528694,0 days 00:30:00
446,21,multiplicative,0.19126465461543343,0 days 08:00:00
447,5,multiplicative,0.09884831319575635,0 days 00:30:00
451,21,multiplicative,0.051215585796463875,0 days 08:00:00
453,5,additive,0.5427754811010812,0 days 00:10:00
461,20,multiplicative,0.05763722003475882,0 days 06:00:00
462,20,multiplicative,0.07513835406390691,0 days 06:00:00
465,3,additive,0.05876404940123379,0 days 00:30:00
469,10,multiplicative,0.22661996184123545,1 days 00:00:00
482,8,multiplicative,0.7855710986405622,1 days 00:00:00
483,33,additive,0.046705309209018615,0 days 00:30:00
490,12,multiplicative,0.013526250463554141,1 days 00:00:00
491,16,multiplicative,0.22368895973671843,1 days 00:00:00
495,31,multiplicative,0.13020640272685602,0 days 00:30:00
498,36,multiplicative,0.04476026312061811,0 days 00:30:00
499,20,multiplicative,0.08703466406317696,0 days 06:00:00
505,16,additive,0.041327322238733234,0 days 06:00:00
506,18,additive,0.24749948190582047,0 days 08:00:00
507,6,additive,0.058770011770157116,0 days 00:10:00
66,13,multiplicative,1.226813408919101,1 days 00:00:00
74,6,additive,0.6055008270386796,0 days 00:30:00
75,21,multiplicative,1.4519936967831757,0 days 08:00:00
79,25,additive,0.09365698351839563,0 days 06:00:00
9,8,additive,0.07801029993295679,0 days 00:10:00
92,28,multiplicative,0.054224632252422654,0 days 06:00:00
